Grand Prix,Driver,Car,Time,DriverCode,Year
Great Britain,Nino Farina,Alfa Romeo,1:50.600,FAR,1950
Monaco,Juan Manuel Fangio,Alfa Romeo,1:51.000,FAN,1950
Indianapolis 500,Johnnie Parsons,Kurtis Kraft Offenhauser,,PAR,1950
Switzerland,Nino Farina,Alfa Romeo,2:41.600,FAR,1950
Belgium,Nino Farina,Alfa Romeo,4:34.100,FAR,1950
France,Juan Manuel Fangio,Alfa Romeo,2:35.600,FAN,1950
Italy,Juan Manuel Fangio,Alfa Romeo,2:00.000,FAN,1950
Switzerland,Juan Manuel Fangio,Alfa Romeo,2:51.100,FAN,1951
Indianapolis 500,Lee Wallard,Kurtis Kraft Offenhauser,1:07.260,WAL,1951
Belgium,Juan Manuel Fangio,Alfa Romeo,4:22.100,FAN,1951
France,Juan Manuel Fangio,Alfa Romeo,2:27.800,FAN,1951
Great Britain,Nino Farina,Alfa Romeo,1:44.000,FAR,1951
Germany,Juan Manuel Fangio,Alfa Romeo,9:55.800,FAN,1951
Italy,Nino Farina,Alfa Romeo,1:56.500,FAR,1951
Spain,Juan Manuel Fangio,Alfa Romeo,2:16.930,FAN,1951
Switzerland,Piero Taruffi,Ferrari,2:49.100,TAR,1952
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.600,VUK,1952
Belgium,Alberto Ascari,Ferrari,4:55.000,ASC,1952
France,Alberto Ascari,Ferrari,2:17.300,ASC,1952
Great Britain,Alberto Ascari,Ferrari,1:52.000,ASC,1952
Germany,Alberto Ascari,Ferrari,10:05.100,ASC,1952
Netherlands,Alberto Ascari,Ferrari,1:49.800,ASC,1952
Italy,Alberto Ascari,Ferrari,2:06.100,ASC,1952
Argentina,Alberto Ascari,Ferrari,1:48.400,ASC,1953
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.240,VUK,1953
Netherlands,Luigi Villoresi,Ferrari,1:52.800,VIL,1953
Belgium,Jose Froilan Gonzalez,Maserati,4:34.000,GON,1953
France,Juan Manuel Fangio,Maserati,2:41.100,FAN,1953
Great Britain,Alberto Ascari,Ferrari,1:50.000,ASC,1953
Germany,Alberto Ascari,Ferrari,9:56.000,ASC,1953
Switzerland,Alberto Ascari,Ferrari,2:41.300,ASC,1953
Italy,Juan Manuel Fangio,Maserati,2:04.500,FAN,1953
Argentina,Jose Froilan Gonzalez,Ferrari,1:48.200,GON,1954
Indianapolis 500,Jack McGrath,Kurtis Kraft Offenhauser,1:04.040,MCG,1954
Belgium,Juan Manuel Fangio,Maserati,4:25.500,FAN,1954
France,Hans Herrmann,Mercedes-Benz,2:32.900,HER,1954
Great Britain,Alberto Ascari,Maserati,1:50.000,ASC,1954
Germany,Karl Kling,Mercedes-Benz,9:55.100,KLI,1954
Switzerland,Juan Manuel Fangio,Mercedes-Benz,2:39.700,FAN,1954
Italy,Jose Froilan Gonzalez,Ferrari,2:00.800,GON,1954
Spain,Alberto Ascari,Lancia,2:20.400,ASC,1954
Argentina,Juan Manuel Fangio,Mercedes-Benz,1:48.300,FAN,1955
Monaco,Juan Manuel Fangio,Mercedes-Benz,1:42.400,FAN,1955
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:03.670,VUK,1955
Belgium,Juan Manuel Fangio,Mercedes-Benz,4:20.600,FAN,1955
Netherlands,Roberto Mieres,Maserati,1:40.900,MIE,1955
Great Britain,Stirling Moss,Mercedes-Benz,2:00.400,MOS,1955
Italy,Stirling Moss,Mercedes-Benz,2:46.900,MOS,1955
Argentina,Juan Manuel Fangio,Ferrari,1:45.300,FAN,1956
Monaco,Juan Manuel Fangio,Ferrari,1:44.400,FAN,1956
Indianapolis 500,Paul Russo,Kurtis Kraft Novi,1:02.320,RUS,1956
Belgium,Stirling Moss,Maserati,4:14.700,MOS,1956
France,Juan Manuel Fangio,Ferrari,2:25.800,FAN,1956
Great Britain,Stirling Moss,Maserati,1:43.200,MOS,1956
Germany,Juan Manuel Fangio,Ferrari,9:41.600,FAN,1956
Italy,Stirling Moss,Maserati,2:45.500,MOS,1956
Argentina,Stirling Moss,Maserati,1:44.700,MOS,1957
Monaco,Juan Manuel Fangio,Maserati,1:45.600,FAN,1957
Indianapolis 500,Jim Rathmann,Epperly Offenhauser,1:02.750,RAT,1957
France,Luigi Musso,Ferrari,2:22.400,MUS,1957
Great Britain,Stirling Moss,Vanwall,1:59.200,MOS,1957
